"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"37"	"ENSG00000075568"	"ENST00000186436"	0.834652967507999	0.986036103771704	9	"ENST00000186436, ENST00000409721, ENST00000418629, ENST00000438715, ENST00000465767, ENST00000469447, ENST00000480724, ENST00000485245, ENST00000489507"
"38"	"ENSG00000076513"	"ENST00000261739"	0.000224892610001977	0.00541991190104765	10	"ENST00000261739, ENST00000546476, ENST00000547419, ENST00000547639, ENST00000549826, ENST00000550404, ENST00000551491, ENST00000553025, ENST00000553246, ENST00000553251"
"39"	"ENSG00000079432"	"ENST00000572681"	0.809001206210544	0.9821015215739	9	"ENST00000572681, ENST00000160740, ENST00000571033, ENST00000571942, ENST00000573349, ENST00000575287, ENST00000575354, ENST00000575839, ENST00000576505"
"40"	"ENSG00000084073"	"ENST00000372759"	0.221117832175141	0.642861067868773	4	"ENST00000372759, ENST00000472583, ENST00000474142, ENST00000479131"
"41"	"ENSG00000086232"	"ENST00000199389"	0.150300308098074	0.561587197699782	10	"ENST00000199389, ENST00000422786, ENST00000431744, ENST00000446699, ENST00000461493, ENST00000463213, ENST00000470168, ENST00000474029, ENST00000490523, ENST00000495565"
"42"	"ENSG00000087087"	"ENST00000611405"	0.449778076210522	0.798280070206434	18	"ENST00000611405, ENST00000423692, ENST00000431645, ENST00000445337, ENST00000448764, ENST00000449389, ENST00000460194, ENST00000466432, ENST00000469602, ENST00000474896, ENST00000477529, ENST00000478693, ENST00000487311, ENST00000614370, ENST00000614484, ENST00000618262, ENST00000618411, ENST00000620394"
"43"	"ENSG00000087116"	"ENST00000251582"	0.0110318684844974	0.129691722183604	5	"ENST00000251582, ENST00000274609, ENST00000518335, ENST00000522937, ENST00000523450"
"44"	"ENSG00000089154"	"ENST00000300648"	0.00204184056874625	0.036450635338359	9	"ENST00000300648, ENST00000547263, ENST00000547369, ENST00000548132, ENST00000548821, ENST00000549815, ENST00000550471, ENST00000551549, ENST00000551920"
"45"	"ENSG00000089693"	"ENST00000435120"	0.438539336528149	0.797645132854973	11	"ENST00000435120, ENST00000203630, ENST00000536207, ENST00000536249, ENST00000537126, ENST00000539187, ENST00000540710, ENST00000541305, ENST00000541346, ENST00000542154, ENST00000564181"
"46"	"ENSG00000090020"	"ENST00000263980"	0.308528339941939	0.729154964678744	6	"ENST00000263980, ENST00000374084, ENST00000374086, ENST00000374089, ENST00000447808, ENST00000490329"
"47"	"ENSG00000090273"	"ENST00000321265"	0.6607580620247	0.913546273569087	4	"ENST00000321265, ENST00000435827, ENST00000452707, ENST00000484772"
"48"	"ENSG00000092847"	"ENST00000373204"	0.666289065106486	0.915799141685935	2	"ENST00000373204, ENST00000373206"
"49"	"ENSG00000095303"	"ENST00000614910"	0.276587519207377	0.70672226505553	7	"ENST00000614910, ENST00000223423, ENST00000362012, ENST00000373698, ENST00000426608, ENST00000540753, ENST00000619306"
"50"	"ENSG00000095319"	"ENST00000372577"	0.395834337780516	0.781935044304135	11	"ENST00000372577, ENST00000464729, ENST00000465344, ENST00000467044, ENST00000477069, ENST00000485158, ENST00000487952, ENST00000491502, ENST00000491990, ENST00000495726, ENST00000550219"
"51"	"ENSG00000095787"	"ENST00000354911"	0.230662309382567	0.642861067868773	21	"ENST00000354911, ENST00000345541, ENST00000347934, ENST00000375646, ENST00000375664, ENST00000414108, ENST00000420266, ENST00000424454, ENST00000428935, ENST00000439676, ENST00000442148, ENST00000448193, ENST00000472862, ENST00000476046, ENST00000480474, ENST00000495268, ENST00000526722, ENST00000528491, ENST00000530865, ENST00000532233, ENST00000628285"
"52"	"ENSG00000096696"	"ENST00000418664"	0.364359438659415	0.765914484001788	3	"ENST00000418664, ENST00000379802, ENST00000506617"
"53"	"ENSG00000097021"	"ENST00000608083"	0.892427330303368	0.994531751688896	10	"ENST00000608083, ENST00000361521, ENST00000377842, ENST00000377845, ENST00000377855, ENST00000377860, ENST00000418124, ENST00000473466, ENST00000481175, ENST00000545482"
"54"	"ENSG00000100014"	"ENST00000437398"	0.282404571040089	0.716415806533278	7	"ENST00000437398, ENST00000314328, ENST00000416735, ENST00000421374, ENST00000440893, ENST00000472799, ENST00000541492"
"55"	"ENSG00000100129"	"ENST00000482600"	0.746738643528182	0.949234283761733	14	"ENST00000482600, ENST00000477256, ENST00000381683, ENST00000406934, ENST00000412331, ENST00000414316, ENST00000436452, ENST00000439997, ENST00000450376, ENST00000451427, ENST00000460638, ENST00000464790, ENST00000476955, ENST00000624234"
"56"	"ENSG00000100241"	"ENST00000348911"	0.0820619758691637	0.428540846231892	8	"ENST00000348911, ENST00000380817, ENST00000399627, ENST00000418590, ENST00000470434, ENST00000473724, ENST00000476293, ENST00000477234"
"57"	"ENSG00000100401"	"ENST00000356244"	0.0201899422678879	0.190814748492588	7	"ENST00000356244, ENST00000405486, ENST00000418067, ENST00000422838, ENST00000446258, ENST00000452543, ENST00000455915"
"58"	"ENSG00000100403"	"ENST00000352645"	0.115692664060935	0.497891643547952	2	"ENST00000352645, ENST00000486331"
"59"	"ENSG00000100413"	"ENST00000355209"	0.971426981560236	0.996259090054683	9	"ENST00000355209, ENST00000337566, ENST00000396504, ENST00000407461, ENST00000420561, ENST00000431534, ENST00000432789, ENST00000442616, ENST00000483837"
"60"	"ENSG00000100836"	"ENST00000216727"	0.621033842313062	0.894728049575152	8	"ENST00000216727, ENST00000397276, ENST00000553960, ENST00000554062, ENST00000555295, ENST00000556809, ENST00000556821, ENST00000557702"
"61"	"ENSG00000101084"	"ENST00000344795"	0.306122330083172	0.729154964678744	7	"ENST00000344795, ENST00000342422, ENST00000373852, ENST00000483815, ENST00000491113, ENST00000492721, ENST00000494506"
