"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"73"	"ENSG00000103342"	"ENST00000434724"	0.690106448369974	0.922780897430974	10	"ENST00000434724"
"74"	"ENSG00000103363"	"ENST00000262306"	0.904260896233561	0.993117095472403	5	"ENST00000262306"
"75"	"ENSG00000103647"	"ENST00000540068"	0.818589076702505	0.982190768531659	4	"ENST00000540068"
"76"	"ENSG00000103657"	"ENST00000443617"	0.829498950720115	0.983947132132967	15	"ENST00000443617"
"77"	"ENSG00000104723"	"ENST00000503731"	0.328010350555064	0.750048469056641	13	"ENST00000503731"
"78"	"ENSG00000104969"	"ENST00000221566"	0.461567485832306	0.811954482376538	5	"ENST00000221566"
"79"	"ENSG00000105281"	"ENST00000542575"	0.871315511796683	0.993117095472403	6	"ENST00000542575"
"80"	"ENSG00000105669"	"ENST00000614388"	0.348690276121168	0.75367135914979	12	"ENST00000614388"
"81"	"ENSG00000105976"	"ENST00000397752"	0.514345901967406	0.85431079837202	7	"ENST00000397752"
"82"	"ENSG00000106263"	"ENST00000360876"	0.415667199481809	0.78972013451792	12	"ENST00000360876"
"83"	"ENSG00000106683"	"ENST00000336180"	0.091774105570307	0.44235118884888	8	"ENST00000336180"
"84"	"ENSG00000107130"	"ENST00000372398"	0.1955520553838	0.625057232255082	3	"ENST00000372398"
"85"	"ENSG00000107338"	"ENST00000377707"	0.303882524465577	0.730114587318846	1	"ENST00000377707"
"86"	"ENSG00000107554"	"ENST00000324109"	0.214073368564005	0.644887647910558	4	"ENST00000324109"
"87"	"ENSG00000107816"	"ENST00000370223"	0.778976934835037	0.96686259468056	7	"ENST00000370223"
"88"	"ENSG00000107854"	"ENST00000371627"	0.00726890883726517	0.100103258844623	1	"ENST00000371627"
"89"	"ENSG00000107959"	"ENST00000224949"	0.44725647885676	0.801833278142519	11	"ENST00000224949"
"90"	"ENSG00000108091"	"ENST00000263102"	0.0528441139064871	0.335142932933247	3	"ENST00000263102"
